city,timestamp,date_time,weather_main,weather_description,temperature_celsius,feels_like_celsius,temp_min_celsius,temp_max_celsius,pressure,humidity,wind_speed,wind_deg,clouds,lat,lon
New York,1708560000,2024-02-22 00:00:00,Clouds,overcast clouds,2.9,-0.23,2.6,2.9,1028,65,3.28,131,100,40.7143,-74.006
New York,1708570800,2024-02-22 03:00:00,Clouds,broken clouds,2.64,0.98,2.12,2.64,1027,66,1.7,148,77,40.7143,-74.006
New York,1708581600,2024-02-22 06:00:00,Clouds,broken clouds,2.09,0.28,1.69,2.09,1025,69,1.75,161,66,40.7143,-74.006
New York,1708592400,2024-02-22 09:00:00,Clouds,few clouds,1.27,-0.61,1.27,1.27,1022,77,1.71,200,13,40.7143,-74.006
New York,1708603200,2024-02-22 12:00:00,Clouds,scattered clouds,1.01,-1.49,1.01,1.01,1021,80,2.18,198,44,40.7143,-74.006
New York,1708614000,2024-02-22 15:00:00,Clouds,few clouds,3.6,0.61,3.6,3.6,1018,67,3.28,173,19,40.7143,-74.006
New York,1708624800,2024-02-22 18:00:00,Clouds,scattered clouds,5.54,1.99,5.54,5.54,1015,64,5.05,166,49,40.7143,-74.006
New York,1708635600,2024-02-22 21:00:00,Clouds,overcast clouds,5.47,1.47,5.47,5.47,1012,72,6.05,150,85,40.7143,-74.006
New York,1708646400,2024-02-23 00:00:00,Rain,light rain,5.02,0.94,5.02,5.02,1010,82,5.95,168,92,40.7143,-74.006
New York,1708657200,2024-02-23 03:00:00,Rain,light rain,5.31,1.63,5.31,5.31,1007,86,5.21,168,100,40.7143,-74.006
New York,1708668000,2024-02-23 06:00:00,Rain,light rain,5.71,2.29,5.71,5.71,1003,83,4.86,172,100,40.7143,-74.006
New York,1708678800,2024-02-23 09:00:00,Clouds,overcast clouds,5.78,3.3,5.78,5.78,1000,86,3.21,181,100,40.7143,-74.006
New York,1708689600,2024-02-23 12:00:00,Rain,light rain,5.83,3.54,5.83,5.83,998,96,2.95,183,100,40.7143,-74.006
New York,1708700400,2024-02-23 15:00:00,Rain,light rain,6.43,4.12,6.43,6.43,998,96,3.15,203,100,40.7143,-74.006
New York,1708711200,2024-02-23 18:00:00,Rain,light rain,6.21,5.11,6.21,6.21,996,97,1.68,289,100,40.7143,-74.006
New York,1708722000,2024-02-23 21:00:00,Rain,light rain,6.3,3.58,6.3,6.3,997,84,3.78,323,100,40.7143,-74.006
New York,1708732800,2024-02-24 00:00:00,Clouds,overcast clouds,6.25,2.7,6.25,6.25,999,77,5.47,329,97,40.7143,-74.006
New York,1708743600,2024-02-24 03:00:00,Clouds,scattered clouds,4.94,0.99,4.94,4.94,1000,69,5.59,327,40,40.7143,-74.006
New York,1708754400,2024-02-24 06:00:00,Clouds,few clouds,3.82,-0.37,3.82,3.82,1001,67,5.48,322,22,40.7143,-74.006
New York,1708765200,2024-02-24 09:00:00,Clear,clear sky,2.32,-2.53,2.32,2.32,1002,70,6.06,314,3,40.7143,-74.006
New York,1708776000,2024-02-24 12:00:00,Clouds,few clouds,1.06,-4.35,1.06,1.06,1004,63,6.53,322,11,40.7143,-74.006
New York,1708786800,2024-02-24 15:00:00,Clouds,few clouds,0.89,-4.86,0.89,0.89,1007,45,7.21,326,21,40.7143,-74.006
New York,1708797600,2024-02-24 18:00:00,Clouds,few clouds,2.01,-3.48,2.01,2.01,1008,33,7.38,325,19,40.7143,-74.006
New York,1708808400,2024-02-24 21:00:00,Clouds,few clouds,2.0,-3.42,2.0,2.0,1010,32,7.19,329,22,40.7143,-74.006
New York,1708819200,2024-02-25 00:00:00,Clouds,few clouds,-0.28,-6.01,-0.28,-0.28,1015,40,6.43,335,16,40.7143,-74.006
New York,1708830000,2024-02-25 03:00:00,Clear,clear sky,-2.38,-8.67,-2.38,-2.38,1017,41,6.38,335,1,40.7143,-74.006
New York,1708840800,2024-02-25 06:00:00,Clear,clear sky,-3.41,-9.67,-3.41,-3.41,1019,41,5.8,338,0,40.7143,-74.006
New York,1708851600,2024-02-25 09:00:00,Clear,clear sky,-3.46,-8.98,-3.46,-3.46,1021,43,4.61,329,4,40.7143,-74.006
New York,1708862400,2024-02-25 12:00:00,Clear,clear sky,-3.22,-7.15,-3.22,-3.22,1023,46,2.79,313,4,40.7143,-74.006
New York,1708873200,2024-02-25 15:00:00,Clear,clear sky,-1.08,-4.14,-1.08,-1.08,1024,39,2.35,252,0,40.7143,-74.006
New York,1708884000,2024-02-25 18:00:00,Clear,clear sky,2.05,-1.37,2.05,2.05,1022,31,3.43,222,3,40.7143,-74.006
New York,1708894800,2024-02-25 21:00:00,Clouds,scattered clouds,4.69,1.17,4.69,4.69,1021,30,4.55,214,27,40.7143,-74.006
New York,1708905600,2024-02-26 00:00:00,Clouds,few clouds,3.74,0.38,3.74,3.74,1021,38,3.88,195,17,40.7143,-74.006
New York,1708916400,2024-02-26 03:00:00,Clouds,overcast clouds,2.39,-2.09,2.39,2.39,1022,50,5.31,202,94,40.7143,-74.006
New York,1708927200,2024-02-26 06:00:00,Clouds,overcast clouds,2.6,-1.56,2.6,2.6,1022,59,4.8,204,87,40.7143,-74.006
New York,1708938000,2024-02-26 09:00:00,Clouds,overcast clouds,3.12,-0.38,3.12,3.12,1020,64,3.88,200,98,40.7143,-74.006
New York,1708948800,2024-02-26 12:00:00,Clouds,overcast clouds,3.45,-0.08,3.45,3.45,1019,75,4.06,194,99,40.7143,-74.006
New York,1708959600,2024-02-26 15:00:00,Clouds,overcast clouds,6.16,2.49,6.16,6.16,1019,68,5.69,211,100,40.7143,-74.006
New York,1708970400,2024-02-26 18:00:00,Clouds,overcast clouds,7.78,5.56,7.78,7.78,1018,64,3.47,237,100,40.7143,-74.006
New York,1708981200,2024-02-26 21:00:00,Clouds,overcast clouds,9.11,9.11,9.11,9.11,1018,63,1.08,251,100,40.7143,-74.006
Los Angeles,1708560000,2024-02-22 00:00:00,Clear,clear sky,17.57,17.21,16.76,17.57,1024,70,2.99,223,0,34.0522,-118.2437
Los Angeles,1708570800,2024-02-22 03:00:00,Clear,clear sky,16.62,16.19,14.73,16.62,1023,71,1.32,236,9,34.0522,-118.2437
Los Angeles,1708581600,2024-02-22 06:00:00,Clouds,few clouds,15.2,14.71,14.02,15.2,1023,74,0.96,154,24,34.0522,-118.2437
Los Angeles,1708592400,2024-02-22 09:00:00,Clouds,broken clouds,13.26,12.73,13.26,13.26,1021,80,1.26,88,83,34.0522,-118.2437
Los Angeles,1708603200,2024-02-22 12:00:00,Clouds,broken clouds,12.5,12.05,12.5,12.5,1021,86,1.61,101,72,34.0522,-118.2437
Los Angeles,1708614000,2024-02-22 15:00:00,Clouds,broken clouds,12.22,11.72,12.22,12.22,1023,85,1.7,86,59,34.0522,-118.2437
Los Angeles,1708624800,2024-02-22 18:00:00,Clouds,scattered clouds,15.74,15.01,15.74,15.74,1023,63,0.48,158,33,34.0522,-118.2437
Los Angeles,1708635600,2024-02-22 21:00:00,Clear,clear sky,19.13,18.22,19.13,19.13,1021,43,2.65,256,1,34.0522,-118.2437
Los Angeles,1708646400,2024-02-23 00:00:00,Clear,clear sky,17.9,17.08,17.9,17.9,1020,51,4.36,242,4,34.0522,-118.2437
Los Angeles,1708657200,2024-02-23 03:00:00,Clouds,scattered clouds,16.1,15.38,16.1,16.1,1020,62,1.64,235,41,34.0522,-118.2437
Los Angeles,1708668000,2024-02-23 06:00:00,Clouds,broken clouds,15.21,14.43,15.21,15.21,1021,63,0.62,130,53,34.0522,-118.2437
Los Angeles,1708678800,2024-02-23 09:00:00,Clouds,overcast clouds,14.66,13.7,14.66,14.66,1021,58,1.04,17,85,34.0522,-118.2437
Los Angeles,1708689600,2024-02-23 12:00:00,Clouds,overcast clouds,14.65,13.37,14.65,14.65,1019,46,1.5,9,93,34.0522,-118.2437
Los Angeles,1708700400,2024-02-23 15:00:00,Clouds,overcast clouds,14.5,13.1,14.5,14.5,1018,42,1.76,29,100,34.0522,-118.2437
Los Angeles,1708711200,2024-02-23 18:00:00,Clouds,overcast clouds,18.96,17.72,18.96,18.96,1019,31,0.73,337,100,34.0522,-118.2437
Los Angeles,1708722000,2024-02-23 21:00:00,Clouds,overcast clouds,22.4,21.32,22.4,22.4,1017,24,0.81,284,100,34.0522,-118.2437
Los Angeles,1708732800,2024-02-24 00:00:00,Clouds,overcast clouds,23.47,22.42,23.47,23.47,1015,21,1.29,218,88,34.0522,-118.2437
Los Angeles,1708743600,2024-02-24 03:00:00,Clouds,broken clouds,20.01,18.88,20.01,20.01,1016,31,1.99,307,82,34.0522,-118.2437
Los Angeles,1708754400,2024-02-24 06:00:00,Clouds,overcast clouds,18.9,17.68,18.9,18.9,1016,32,0.5,30,91,34.0522,-118.2437
